Country Name,Country Code,Year,Year Code,Consumption of iodized salt (% of households) [SN.ITK.SALT.ZS],Exclusive breastfeeding (% of children under 6 months) [SH.STA.BFED.ZS],"Infant and young child feeding practices, all 3 IYCF (% children ages 6-23 months) [SH.STA.IYCF.ZS]",Low-birthweight babies (% of births) [SH.STA.BRTW.ZS],Number of people who are undernourished [SN.ITK.DEFC],Prevalence of anemia among children (% of children ages 6-59 months) [SH.ANM.CHLD.ZS],Prevalence of anemia among non-pregnant women (% of women ages 15-49) [SH.ANM.NPRG.ZS],Prevalence of anemia among pregnant women (%) [SH.PRG.ANEM],Prevalence of anemia among women of reproductive age (% of women ages 15-49) [SH.ANM.ALLW.ZS],Prevalence of overweight (% of adults) [SH.STA.OWAD.ZS],Prevalence of overweight (% of children under 5) [SH.STA.OWGH.ZS],"Prevalence of overweight, female (% of children under 5) [SH.STA.OWGH.FE.ZS]","Prevalence of overweight, female (% of female adults) [SH.STA.OWAD.FE.ZS]","Prevalence of overweight, male (% of children under 5) [SH.STA.OWGH.MA.ZS]","Prevalence of overweight, male (% of male adults) [SH.STA.OWAD.MA.ZS]","Prevalence of severe wasting, weight for height (% of children under 5) [SH.SVR.WAST.ZS]","Prevalence of severe wasting, weight for height, female (% of children under 5) [SH.SVR.WAST.FE.ZS]","Prevalence of severe wasting, weight for height, male (% of children under 5) [SH.SVR.WAST.MA.ZS]","Prevalence of stunting, height for age (% of children under 5) [SH.STA.STNT.ZS]","Prevalence of stunting, height for age, female (% of children under 5) [SH.STA.STNT.FE.ZS]","Prevalence of stunting, height for age, male (% of children under 5) [SH.STA.STNT.MA.ZS]",Prevalence of undernourishment (% of population) [SN.ITK.DEFC.ZS],"Prevalence of underweight, weight for age (% of children under 5) [SH.STA.MALN.ZS]","Prevalence of underweight, weight for age, female (% of children under 5) [SH.STA.MALN.FE.ZS]","Prevalence of underweight, weight for age, male (% of children under 5) [SH.STA.MALN.MA.ZS]","Prevalence of wasting, weight for height (% of children under 5) [SH.STA.WAST.ZS]","Prevalence of wasting, weight for height, female (% of children under 5) [SH.STA.WAST.FE.ZS]","Prevalence of wasting, weight for height, male (% of children under 5) [SH.STA.WAST.MA.ZS]",Vitamin A supplementation coverage rate (% of children ages 6-59 months) [SN.ITK.VITA.ZS]
Gibraltar,GIB,2017,YR2017,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gibraltar,GIB,2018,YR2018,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gibraltar,GIB,2019,YR2019,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Greece,GRC,2017,YR2017,..,..,..,..,..,16.2,14.2,20,14.3,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Greece,GRC,2018,YR2018,..,..,..,..,..,16.5,14.6,20.2,14.7,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Greece,GRC,2019,YR2019,..,..,..,..,..,16.7,14.9,20.3,15.1,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Greenland,GRL,2017,YR2017,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Greenland,GRL,2018,YR2018,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Greenland,GRL,2019,YR2019,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Grenada,GRD,2017,YR2017,..,..,..,..,..,23.6,18.7,22.5,18.8,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Grenada,GRD,2018,YR2018,..,..,..,..,..,23.6,18.8,22.5,19,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Grenada,GRD,2019,YR2019,..,..,..,..,..,23.6,19,22.5,19.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Guam,GUM,2017,YR2017,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Guam,GUM,2018,YR2018,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Guam,GUM,2019,YR2019,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Guatemala,GTM,2017,YR2017,..,..,..,..,2800000,10.8,7.6,13.5,7.9,..,..,..,..,..,..,..,..,..,..,..,..,16.3,..,..,..,..,..,..,26
Guatemala,GTM,2018,YR2018,..,..,..,..,2800000,10.2,7.3,13,7.6,..,..,..,..,..,..,..,..,..,..,..,..,16,..,..,..,..,..,..,..
Guatemala,GTM,2019,YR2019,..,..,..,..,2900000,9.8,7,12.7,7.4,..,..,..,..,..,..,..,..,..,..,..,..,16.8,..,..,..,..,..,..,..
Guinea,GIN,2017,YR2017,..,..,..,..,..,75.1,48.4,54.1,49,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,64
Guinea,GIN,2018,YR2018,..,33.4,4.3,..,..,74.4,47.9,53.6,48.5,..,5.6,5.6,..,5.7,..,3.6,3.5,3.7,30.3,26.8,33.8,..,16.3,14.9,17.7,9.2,9.1,9.3,82
Guinea,GIN,2019,YR2019,..,..,..,..,..,73.8,47.5,53,48,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Guinea-Bissau,GNB,2017,YR2017,..,..,..,..,..,69.7,48.1,52.9,48.5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,95
Guinea-Bissau,GNB,2018,YR2018,..,..,..,..,..,68.9,47.9,52.6,48.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0
Guinea-Bissau,GNB,2019,YR2019,..,..,..,..,..,68,47.7,52.3,48.1,..,2.2,1.3,..,3.1,..,1.5,1.4,1.7,28.1,24.8,31.4,..,18.8,17.4,20.2,7.8,7.1,8.5,..
Guyana,GUY,2017,YR2017,..,..,..,..,100000,30.3,31.9,33.3,32,..,..,..,..,..,..,..,..,..,..,..,..,6,..,..,..,..,..,..,..
Guyana,GUY,2018,YR2018,..,..,..,..,100000,29.8,31.7,33.1,31.8,..,..,..,..,..,..,..,..,..,..,..,..,5.5,..,..,..,..,..,..,..
Guyana,GUY,2019,YR2019,..,..,..,..,100000,29.3,31.6,33,31.7,..,..,..,..,..,..,..,..,..,..,..,..,5.2,..,..,..,..,..,..,..
Haiti,HTI,2017,YR2017,7.5,39.9,11.1,..,5300000,61.3,47.4,49,47.5,..,3.4,2.8,..,4,..,0.8,0.5,1.1,21.9,19.9,24,48,9.5,8.3,10.7,3.7,3.3,4.2,17
Haiti,HTI,2018,YR2018,..,..,..,..,5300000,60.7,47.5,48.9,47.6,..,..,..,..,..,..,..,..,..,..,..,..,47.9,..,..,..,..,..,..,21
Haiti,HTI,2019,YR2019,..,..,..,..,5300000,60.1,47.6,48.7,47.7,..,..,..,..,..,..,..,..,..,..,..,..,46.8,..,..,..,..,..,..,..
Heavily indebted poor countries (HIPC),HPC,2017,YR2017,..,..,10.81708715,..,145600000,59.7614129,37.83385719,43.93625894,38.31610958,..,..,..,..,..,..,..,..,..,..,..,..,22.35758172,..,..,..,..,..,..,52.51697619
Heavily indebted poor countries (HIPC),HPC,2018,YR2018,..,..,..,..,150500000,59.37527233,37.86756775,43.74448596,38.33026278,..,..,..,..,..,..,..,..,..,..,..,..,22.52384221,..,..,..,..,..,..,65.8192026
Heavily indebted poor countries (HIPC),HPC,2019,YR2019,..,..,..,..,161200000,58.99814258,37.99253622,43.56955063,38.40443842,..,..,..,..,..,..,..,..,..,..,..,..,23.49838353,..,..,..,..,..,..,..
High income,HIC,2017,YR2017,..,..,..,..,4100000,12.41388326,13.09092862,16.44733945,13.18927862,..,..,..,..,..,..,..,..,..,..,..,..,2.611172502,0.948344231,..,..,..,..,..,..
High income,HIC,2018,YR2018,..,..,..,..,4100000,12.66738595,13.33203856,16.54036062,13.43226473,..,..,..,..,..,..,..,..,..,..,..,..,2.61147874,0.930745304,..,..,..,..,..,..
High income,HIC,2019,YR2019,..,..,..,..,4200000,12.94766557,13.6202096,16.65510405,13.71195284,..,..,..,..,..,..,..,..,..,..,..,..,2.618125977,0.91346997,..,..,..,..,..,..
Honduras,HND,2017,YR2017,..,..,..,..,1200000,27.6,17.1,21.6,17.3,..,..,..,..,..,..,..,..,..,..,..,..,13.2,..,..,..,..,..,..,..
Honduras,HND,2018,YR2018,..,..,..,..,1300000,26.9,17.4,21.6,17.6,..,..,..,..,..,..,..,..,..,..,..,..,13.1,..,..,..,..,..,..,..
Honduras,HND,2019,YR2019,..,..,..,..,1300000,26.2,17.8,21.7,18,..,..,..,..,..,..,..,..,..,..,..,..,13.5,..,..,..,..,..,..,..
"Hong Kong SAR, China",HKG,2017,YR2017,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
"Hong Kong SAR, China",HKG,2018,YR2018,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
"Hong Kong SAR, China",HKG,2019,YR2019,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Hungary,HUN,2017,YR2017,..,..,..,..,..,17.9,19.4,22.5,19.4,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Hungary,HUN,2018,YR2018,..,..,..,..,..,17.9,19.4,22.5,19.5,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Hungary,HUN,2019,YR2019,..,..,..,..,..,18.1,19.6,22.5,19.7,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
IBRD only,IBD,2017,YR2017,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
IBRD only,IBD,2018,YR2018,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
IBRD only,IBD,2019,YR2019,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Iceland,ISL,2017,YR2017,..,..,..,..,..,10.4,9.7,15,9.9,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Iceland,ISL,2018,YR2018,..,..,..,..,..,10.6,9.9,15.1,10.1,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Iceland,ISL,2019,YR2019,..,..,..,..,..,11,10.1,15.3,10.3,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
IDA & IBRD total,IBT,2017,YR2017,..,..,..,..,542400000,42.98048797,31.75969204,38.42516791,31.92112219,..,..,..,..,..,..,..,..,..,..,..,..,9.589661563,..,..,..,..,..,..,..
IDA & IBRD total,IBT,2018,YR2018,..,..,..,..,552000000,42.87100715,32.04195669,38.3496328,32.1975886,..,..,..,..,..,..,..,..,..,..,..,..,9.652148625,..,..,..,..,..,..,..
IDA & IBRD total,IBT,2019,YR2019,..,..,..,..,598100000,42.86072335,32.38043664,38.33321704,32.52671161,..,..,..,..,..,..,..,..,..,..,..,..,10.30442122,..,..,..,..,..,..,..
IDA blend,IDB,2017,YR2017,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
IDA blend,IDB,2018,YR2018,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
IDA blend,IDB,2019,YR2019,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
IDA only,IDX,2017,YR2017,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
IDA only,IDX,2018,YR2018,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
IDA only,IDX,2019,YR2019,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
IDA total,IDA,2017,YR2017,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
IDA total,IDA,2018,YR2018,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
IDA total,IDA,2019,YR2019,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
India,IND,2017,YR2017,..,..,..,..,184900000,54.5,52.9,50.4,52.8,..,1.6,1.5,..,1.6,..,4.9,4.8,5.1,34.7,34,35.4,13.8,33.4,34.4,32.5,17.3,16.3,18.3,..
India,IND,2018,YR2018,..,..,..,..,189900000,53.9,53,50.2,52.9,..,..,..,..,..,..,..,..,..,..,..,..,14,..,..,..,..,..,..,56
India,IND,2019,YR2019,..,..,..,..,208600000,53.4,53.1,50.1,53,..,..,..,..,..,..,..,..,..,..,..,..,15.3,..,..,..,..,..,..,..
Indonesia,IDN,2017,YR2017,..,50.7,40.1,..,16800000,38,29,43.2,29.6,..,..,..,..,..,..,..,..,..,..,..,..,6.4,..,..,..,..,..,..,62
Indonesia,IDN,2018,YR2018,..,..,..,..,17200000,38.2,29.8,43.7,30.4,..,8,7.7,..,8.4,..,3.5,3.1,3.9,30.8,29.7,31.7,6.4,17.7,16.6,18.8,10.2,9.2,11.1,..
Indonesia,IDN,2019,YR2019,..,..,..,..,17600000,38.4,30.6,44.2,31.2,..,..,..,..,..,..,..,..,..,..,..,..,6.5,..,..,..,..,..,..,..
"Iran, Islamic Rep.",IRN,2017,YR2017,..,..,..,..,4200000,26.5,23.4,23.7,23.4,..,..,..,..,..,..,..,..,..,..,..,..,5.2,..,..,..,..,..,..,..
"Iran, Islamic Rep.",IRN,2018,YR2018,..,..,..,..,4400000,26.4,23.7,23.7,23.7,..,..,..,..,..,..,..,..,..,..,..,..,5.4,..,..,..,..,..,..,..
"Iran, Islamic Rep.",IRN,2019,YR2019,..,..,..,..,4600000,26.5,24.1,23.8,24.1,..,..,..,..,..,..,..,..,..,..,..,..,5.5,..,..,..,..,..,..,..
Iraq,IRQ,2017,YR2017,..,..,..,..,14200000,28.6,28.2,31.1,28.4,..,..,..,..,..,..,..,..,..,..,..,..,37.9,..,..,..,..,..,..,..
Iraq,IRQ,2018,YR2018,68.3,25.8,35,..,14400000,28.9,28.2,30.9,28.4,..,6.1,5.7,..,6.3,..,0.9,0.7,1.1,12.6,13,12.3,37.4,3.9,4,3.9,3,2.8,3.3,..
Iraq,IRQ,2019,YR2019,..,..,..,..,14700000,29.4,28.4,30.9,28.6,..,..,..,..,..,..,..,..,..,..,..,..,37.5,..,..,..,..,..,..,..
Ireland,IRL,2017,YR2017,..,..,..,..,..,13.5,11.4,16.8,11.6,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Ireland,IRL,2018,YR2018,..,..,..,..,..,13.8,11.6,16.9,11.8,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Ireland,IRL,2019,YR2019,..,..,..,..,..,14.1,11.9,17,12.1,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Isle of Man,IMN,2017,YR2017,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Isle of Man,IMN,2018,YR2018,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Isle of Man,IMN,2019,YR2019,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Israel,ISR,2017,YR2017,..,..,..,..,..,13.5,12,18,12.3,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Israel,ISR,2018,YR2018,..,..,..,..,..,13.9,12.3,18.1,12.6,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Israel,ISR,2019,YR2019,..,..,..,..,..,14.3,12.6,18.3,12.9,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Italy,ITA,2017,YR2017,..,..,..,..,..,14.2,12.9,19,13,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Italy,ITA,2018,YR2018,..,..,..,..,..,14.5,13.2,19.1,13.3,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Italy,ITA,2019,YR2019,..,..,..,..,..,14.9,13.5,19.2,13.6,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Jamaica,JAM,2017,YR2017,..,..,..,..,300000,24,19.4,22.7,19.5,..,..,..,..,..,..,..,..,..,..,..,..,8.8,..,..,..,..,..,..,..
Jamaica,JAM,2018,YR2018,..,..,..,..,200000,23.7,19.5,22.7,19.6,..,..,..,..,..,..,..,..,..,..,..,..,7.7,..,..,..,..,..,..,..
Jamaica,JAM,2019,YR2019,..,..,..,..,200000,23.6,19.7,22.8,19.9,..,..,..,..,..,..,..,..,..,..,..,..,7.7,..,..,..,..,..,..,..
Japan,JPN,2017,YR2017,..,..,..,..,..,16.2,19,23.7,19.1,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Japan,JPN,2018,YR2018,..,..,..,..,..,16.5,18.9,23.5,19,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Japan,JPN,2019,YR2019,..,..,..,..,..,16.7,18.9,23.4,19,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Jordan,JOR,2017,YR2017,..,..,22.5,..,800000,32.1,35.7,33.1,35.6,..,..,..,..,..,..,..,..,..,..,..,..,7.7,..,..,..,..,..,..,..
Jordan,JOR,2018,YR2018,..,25.4,21.8,..,800000,32.4,36.8,33.4,36.6,..,..,..,..,..,..,..,..,..,..,..,..,8.2,..,..,..,..,..,..,..
Jordan,JOR,2019,YR2019,..,..,..,..,1000000,32.7,38,33.7,37.7,..,..,..,..,..,..,..,..,..,..,..,..,9.5,..,..,..,..,..,..,..
Kazakhstan,KAZ,2017,YR2017,..,..,..,..,500000,21.7,28,31.4,28.2,..,..,..,..,..,..,..,..,..,..,..,..,2.6,..,..,..,..,..,..,..
Kazakhstan,KAZ,2018,YR2018,..,..,..,..,500000,22.2,28.3,31.4,28.4,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Kazakhstan,KAZ,2019,YR2019,..,..,..,..,..,23,28.6,31.4,28.7,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Kenya,KEN,2017,YR2017,..,..,..,..,12400000,41.4,27.3,40.4,28.2,..,..,..,..,..,..,..,..,..,..,..,..,24.6,..,..,..,..,..,..,44
Kenya,KEN,2018,YR2018,..,..,..,..,12500000,42,27.5,40.3,28.4,..,..,..,..,..,..,..,..,..,..,..,..,24.4,..,..,..,..,..,..,59
Kenya,KEN,2019,YR2019,..,..,..,..,13000000,42.8,27.9,40.3,28.7,..,..,..,..,..,..,..,..,..,..,..,..,24.8,..,..,..,..,..,..,..
Kiribati,KIR,2017,YR2017,..,..,..,..,100000,50.4,31.6,42.3,32.3,..,..,..,..,..,..,..,..,..,..,..,..,3.5,..,..,..,..,..,..,37
Kiribati,KIR,2018,YR2018,..,..,..,..,100000,49.9,31.7,42,32.4,..,2.1,0.9,..,3.3,..,1.3,1.2,1.4,15.2,14,16.4,3.8,6.9,5.8,8.1,3.5,3.4,3.7,..
Kiribati,KIR,2019,YR2019,..,..,..,..,100000,49.4,31.9,41.7,32.6,..,..,..,..,..,..,..,..,..,..,..,..,4.1,..,..,..,..,..,..,..
"Korea, Dem. People's Rep.",PRK,2017,YR2017,..,71.4,28.6,..,10900000,31.2,33,38.5,33.2,..,2.3,2.3,..,2.3,..,0.5,0.5,0.5,19.1,19.9,18.4,42.9,9.3,8.9,9.6,2.5,2,3,90
"Korea, Dem. People's Rep.",PRK,2018,YR2018,..,..,..,..,10900000,31.4,33.4,38.6,33.5,..,..,..,..,..,..,..,..,..,..,..,..,42.6,..,..,..,..,..,..,99
"Korea, Dem. People's Rep.",PRK,2019,YR2019,..,..,..,..,10900000,31.6,33.7,38.8,33.9,..,..,..,..,..,..,..,..,..,..,..,..,42.4,..,..,..,..,..,..,..
"Korea, Rep.",KOR,2017,YR2017,..,..,..,..,..,14.4,13.1,14.9,13.1,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
"Korea, Rep.",KOR,2018,YR2018,..,..,..,..,..,14.7,13.2,14.8,13.2,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
"Korea, Rep.",KOR,2019,YR2019,..,..,..,..,..,15,13.4,14.7,13.5,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Kosovo,XKX,2017,YR2017,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Kosovo,XKX,2018,YR2018,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Kosovo,XKX,2019,YR2019,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Kuwait,KWT,2017,YR2017,..,..,..,..,..,19.2,23.1,23.5,23.1,..,5.5,..,..,..,..,..,..,..,6.4,..,..,2.5,..,..,..,2.5,..,..,..
Kuwait,KWT,2018,YR2018,..,..,..,..,..,19.4,23.4,23.6,23.4,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Kuwait,KWT,2019,YR2019,..,..,..,..,..,19.8,23.7,23.7,23.7,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Kyrgyz Republic,KGZ,2017,YR2017,..,..,..,..,500000,33.4,35.1,36.4,35.2,..,..,..,..,..,..,..,..,..,..,..,..,7.7,..,..,..,..,..,..,..
Kyrgyz Republic,KGZ,2018,YR2018,98.7,45.6,43.7,..,500000,33.3,35.5,36.4,35.5,..,6.9,7.1,..,6.8,..,0.7,0.7,0.7,11.8,10.9,12.5,7.2,1.8,1.6,2,2,2.1,2,..
Kyrgyz Republic,KGZ,2019,YR2019,..,..,..,..,500000,33.4,35.8,36.3,35.8,..,..,..,..,..,..,..,..,..,..,..,..,7.2,..,..,..,..,..,..,..
Lao PDR,LAO,2017,YR2017,93.6,44.4,26.5,..,400000,41.3,37.7,47,38.2,..,3.5,3.1,..,3.9,..,3,2.8,3.2,33.1,32.1,34,5.6,21.1,20.6,21.6,9,8.6,9.4,57
Lao PDR,LAO,2018,YR2018,..,..,..,..,400000,41.3,38.4,47,38.8,..,..,..,..,..,..,..,..,..,..,..,..,5.4,..,..,..,..,..,..,..
Lao PDR,LAO,2019,YR2019,..,..,..,..,400000,41.4,39,47,39.5,..,..,..,..,..,..,..,..,..,..,..,..,5.3,..,..,..,..,..,..,..
Late-demographic dividend,LTE,2017,YR2017,..,..,..,..,35700000,19.5114575,17.49643292,21.73819386,17.61360401,..,..,..,..,..,..,..,..,..,..,..,..,3.562705191,..,..,..,..,..,..,..
Late-demographic dividend,LTE,2018,YR2018,..,..,..,..,35700000,19.56645543,17.66611551,21.63004323,17.77369245,..,..,..,..,..,..,..,..,..,..,..,..,3.560533438,..,..,..,..,..,..,..
Late-demographic dividend,LTE,2019,YR2019,..,..,..,..,36500000,19.79409638,17.90966967,21.58555725,18.01452769,..,..,..,..,..,..,..,..,..,..,..,..,3.614498864,..,..,..,..,..,..,..
Latin America & Caribbean,LCN,2017,YR2017,..,..,..,..,39000000,21.06424241,16.95135863,21.9690505,17.12814451,..,..,..,..,..,..,..,..,..,..,..,..,6.936258389,3.016541481,..,..,..,..,..,..
Latin America & Caribbean,LCN,2018,YR2018,..,..,..,..,40200000,20.70246514,16.9782989,21.88039651,17.16233513,..,..,..,..,..,..,..,..,..,..,..,..,7.10967195,2.915448427,..,..,..,..,..,..
Latin America & Caribbean,LCN,2019,YR2019,..,..,..,..,44500000,20.5233619,17.07753166,21.85014477,17.24386944,..,..,..,..,..,..,..,..,..,..,..,..,7.722481003,2.817635536,..,..,..,..,..,..
Latin America & Caribbean (excluding high income),LAC,2017,YR2017,..,..,..,..,31700000,20.73254877,16.95219329,21.82067021,17.12502531,..,..,..,..,..,..,..,..,..,..,..,..,6.312366048,..,..,..,..,..,..,..
Latin America & Caribbean (excluding high income),LAC,2018,YR2018,..,..,..,..,32600000,20.33167832,16.94918714,21.7044331,17.13002046,..,..,..,..,..,..,..,..,..,..,..,..,6.464360037,..,..,..,..,..,..,..
Latin America & Caribbean (excluding high income),LAC,2019,YR2019,..,..,..,..,35900000,20.13437479,17.03027848,21.65461375,17.19537384,..,..,..,..,..,..,..,..,..,..,..,..,6.944054135,..,..,..,..,..,..,..
Latin America & the Caribbean (IDA & IBRD countries),TLA,2017,YR2017,..,..,..,..,38900000,21.0925929,16.91747904,21.96899233,17.09557991,..,..,..,..,..,..,..,..,..,..,..,..,7.018848594,..,..,..,..,..,..,..
Latin America & the Caribbean (IDA & IBRD countries),TLA,2018,YR2018,..,..,..,..,40100000,20.73028163,16.94545756,21.88032341,17.13246791,..,..,..,..,..,..,..,..,..,..,..,..,7.194731862,..,..,..,..,..,..,..
Latin America & the Caribbean (IDA & IBRD countries),TLA,2019,YR2019,..,..,..,..,44400000,20.55278676,17.04683738,21.85075591,17.21425861,..,..,..,..,..,..,..,..,..,..,..,..,7.818051664,..,..,..,..,..,..,..
Latvia,LVA,2017,YR2017,..,..,..,..,..,19.2,21.3,23.2,21.3,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Latvia,LVA,2018,YR2018,..,..,..,..,..,19.2,21.4,23.2,21.4,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Latvia,LVA,2019,YR2019,..,..,..,..,..,19.4,21.6,23.2,21.6,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,..,..
Least developed countries: UN classification,LDC,2017,YR2017,..,..,14.81560055,..,178800000,57.93463975,38.65705201,44.30230313,39.04982399,..,..,..,..,..,..,..,..,..,..,..,..,20.60293178,..,..,..,..,..,..,58.02543604
Least developed countries: UN classification,LDC,2018,YR2018,..,..,..,..,180900000,57.71915238,38.8170265,44.13980847,39.18464995,..,..,..,..,..,..,..,..,..,..,..,..,20.39333739,..,..,..,..,..,..,57.07782543
Least developed countries: UN classification,LDC,2019,YR2019,..,..,..,..,190800000,57.52521422,39.03573078,43.98220586,39.36378023,..,..,..,..,..,..,..,..,..,..,..,..,21.03785319,..,..,..,..,..,..,..
Lebanon,LBN,2017,YR2017,..,..,..,..,500000,22.3,27.5,27.6,27.5,..,..,..,..,..,..,..,..,..,..,..,..,6.7,..,..,..,..,..,..,..
Lebanon,LBN,2018,YR2018,..,..,..,..,500000,22.5,27.9,27.7,27.9,..,..,..,..,..,..,..,..,..,..,..,..,7.2,..,..,..,..,..,..,..
