Country Name,Country Code,Year,Year Code,"Immunization, BCG (% of one-year-old children) [SH.IMM.IBCG]","Immunization, DPT (% of children ages 12-23 months) [SH.IMM.IDPT]","Immunization, HepB3 (% of one-year-old children) [SH.IMM.HEPB]","Immunization, Hib3 (% of children ages 12-23 months) [SH.IMM.HIB3]","Immunization, measles (% of children ages 12-23 months) [SH.IMM.MEAS]","Immunization, measles second dose (% of children by the nationally recommended age) [SH.IMM.MEA2]","Immunization, Pol3 (% of one-year-old children) [SH.IMM.POL3]"
Jordan,JOR,2019,YR2019,86,89,89,89,87,96,87
Kazakhstan,KAZ,2017,YR2017,95,99,99,99,99,99,99
Kazakhstan,KAZ,2018,YR2018,95,98,98,98,99,98,98
Kazakhstan,KAZ,2019,YR2019,87,97,97,97,99,98,97
Kenya,KEN,2017,YR2017,89,82,82,82,89,35,81
Kenya,KEN,2018,YR2018,95,92,92,92,89,45,92
Kenya,KEN,2019,YR2019,95,92,92,92,89,45,87
Kiribati,KIR,2017,YR2017,89,90,90,90,81,79,90
Kiribati,KIR,2018,YR2018,89,95,95,95,84,85,93
Kiribati,KIR,2019,YR2019,89,97,94,95,94,91,94
"Korea, Dem. People's Rep.",PRK,2017,YR2017,98,97,97,97,99,98,99
"Korea, Dem. People's Rep.",PRK,2018,YR2018,96,97,97,97,98,99,99
"Korea, Dem. People's Rep.",PRK,2019,YR2019,96,97,97,97,98,98,98
"Korea, Rep.",KOR,2017,YR2017,98,97,98,97,97,97,97
"Korea, Rep.",KOR,2018,YR2018,98,98,98,98,98,97,98
"Korea, Rep.",KOR,2019,YR2019,98,98,98,98,98,96,98
Kosovo,XKX,2017,YR2017,..,..,..,..,..,..,..
Kosovo,XKX,2018,YR2018,..,..,..,..,..,..,..
Kosovo,XKX,2019,YR2019,..,..,..,..,..,..,..
Kuwait,KWT,2017,YR2017,99,99,99,99,99,99,99
Kuwait,KWT,2018,YR2018,96,91,91,91,98,94,99
Kuwait,KWT,2019,YR2019,96,91,91,91,98,94,99
Kyrgyz Republic,KGZ,2017,YR2017,97,92,92,92,95,96,93
Kyrgyz Republic,KGZ,2018,YR2018,97,94,94,93,96,96,92
Kyrgyz Republic,KGZ,2019,YR2019,96,95,95,94,96,98,96
Lao PDR,LAO,2017,YR2017,81,69,69,69,72,..,68
Lao PDR,LAO,2018,YR2018,79,68,68,68,69,57,67
Lao PDR,LAO,2019,YR2019,79,68,68,68,69,57,67
Late-demographic dividend,LTE,2017,YR2017,96.90225095,96.9420785,97.31481411,31.7651956,97.30554115,95.07800824,95.47069319
Late-demographic dividend,LTE,2018,YR2018,96.82623028,95.6888554,96.24119944,29.95261242,97.40054495,94.52900058,96.15698309
Late-demographic dividend,LTE,2019,YR2019,95.52438513,95.04158398,95.6469054,30.57571397,97.27521964,91.88686129,96.08864038
Latin America & Caribbean,LCN,2017,YR2017,91.64290076,85.77637578,81.0750058,86.76531454,86.69357838,69.03239926,82.18667091
Latin America & Caribbean,LCN,2018,YR2018,92.00420935,86.07726427,80.72657868,84.87656996,91.22125262,80.20772324,84.88897284
Latin America & Caribbean,LCN,2019,YR2019,83.13021654,80.60463083,77.08239055,82.41774986,86.4742284,67.4430541,84.05356986
Latin America & Caribbean (excluding high income),LAC,2017,YR2017,91.37435417,86.61715172,81.50657989,87.69216657,85.96826164,68.90619854,82.00142798
Latin America & Caribbean (excluding high income),LAC,2018,YR2018,91.87656489,87.12129695,81.32700275,85.82105682,92.02392251,82.01229553,86.18868765
Latin America & Caribbean (excluding high income),LAC,2019,YR2019,82.31590094,80.93261573,77.12864941,82.88982342,85.88426136,69.42470697,84.75729883
Latin America & the Caribbean (IDA & IBRD countries),TLA,2017,YR2017,91.55507866,85.61369387,80.85266761,86.6151814,86.5439435,68.65052251,81.99004671
Latin America & the Caribbean (IDA & IBRD countries),TLA,2018,YR2018,91.92360248,85.92416899,80.50767791,84.70870792,91.13488636,79.9934606,84.72155817
Latin America & the Caribbean (IDA & IBRD countries),TLA,2019,YR2019,82.9536253,80.39486856,76.83061464,82.22961466,86.33441931,67.0667058,83.88464862
Latvia,LVA,2017,YR2017,96,98,98,98,96,89,98
Latvia,LVA,2018,YR2018,95,96,96,96,98,94,96
Latvia,LVA,2019,YR2019,96,99,99,99,99,96,99
Least developed countries: UN classification,LDC,2017,YR2017,83.60043138,77.98372953,77.69033867,77.69033867,74.00659652,37.15532942,77.80079337
Least developed countries: UN classification,LDC,2018,YR2018,82.07614467,77.62554833,77.4716533,77.4716533,73.97618614,38.88065045,77.08923441
Least developed countries: UN classification,LDC,2019,YR2019,82.25346016,78.06509899,77.7972992,77.79740075,74.71221751,46.638078,78.47456357
Lebanon,LBN,2017,YR2017,..,83,80,85,82,63,81
Lebanon,LBN,2018,YR2018,..,83,80,85,82,63,81
Lebanon,LBN,2019,YR2019,..,83,80,85,82,63,81
Lesotho,LSO,2017,YR2017,96,87,87,87,90,82,87
Lesotho,LSO,2018,YR2018,96,87,87,87,90,82,87
Lesotho,LSO,2019,YR2019,96,87,87,87,90,82,87
Liberia,LBR,2017,YR2017,87,84,84,84,87,..,84
Liberia,LBR,2018,YR2018,92,84,84,84,91,..,84
Liberia,LBR,2019,YR2019,84,74,74,74,85,13,74
Libya,LBY,2017,YR2017,99,96,96,96,94,94,96
Libya,LBY,2018,YR2018,74,73,73,73,73,72,73
Libya,LBY,2019,YR2019,74,73,73,73,73,72,73
Liechtenstein,LIE,2017,YR2017,..,..,..,..,..,..,..
Liechtenstein,LIE,2018,YR2018,..,..,..,..,..,..,..
Liechtenstein,LIE,2019,YR2019,..,..,..,..,..,..,..
Lithuania,LTU,2017,YR2017,97,94,94,94,94,92,94
Lithuania,LTU,2018,YR2018,96,92,93,92,92,92,92
Lithuania,LTU,2019,YR2019,97,92,92,92,93,93,92
Low & middle income,LMY,2017,YR2017,89.33958999,84.89271399,84.43651119,68.70238137,84.32716254,65.47441456,84.60029135
Low & middle income,LMY,2018,YR2018,88.99680108,84.7683907,84.27357837,68.70169415,84.8462093,66.96759396,84.76928768
Low & middle income,LMY,2019,YR2019,88.3422268,84.83717341,84.45313035,69.30265135,84.91307234,68.84868376,84.99972426
Low income,LIC,2017,YR2017,79.48764431,73.21513697,73.01038058,73.01038058,69.21958488,24.29781122,73.84210069
Low income,LIC,2018,YR2018,78.11046936,72.75879699,72.75879699,72.75879699,68.67233401,25.53952884,73.22910081
Low income,LIC,2019,YR2019,78.17341459,73.84519716,73.68192097,73.68192097,69.96721872,35.2214559,74.64498945
Lower middle income,LMC,2017,YR2017,89.01944427,83.53221577,83.4799286,83.39139576,83.98055306,65.0412272,83.48924166
Lower middle income,LMC,2018,YR2018,88.9216586,83.56112327,83.48155117,83.42071896,84.42608597,66.65907666,83.81413735
Lower middle income,LMC,2019,YR2019,88.82978013,84.23460718,84.14197012,84.1635778,85.08194653,69.37487945,83.84851155
Luxembourg,LUX,2017,YR2017,..,99,94,99,99,86,99
Luxembourg,LUX,2018,YR2018,..,99,96,99,99,90,99
Luxembourg,LUX,2019,YR2019,..,99,96,99,99,90,99
"Macao SAR, China",MAC,2017,YR2017,..,..,..,..,..,..,..
"Macao SAR, China",MAC,2018,YR2018,..,..,..,..,..,..,..
"Macao SAR, China",MAC,2019,YR2019,..,..,..,..,..,..,..
Madagascar,MDG,2017,YR2017,70,74,74,74,60,..,71
Madagascar,MDG,2018,YR2018,70,75,75,75,62,..,76
Madagascar,MDG,2019,YR2019,70,79,79,79,69,..,80
Malawi,MWI,2017,YR2017,89,88,88,88,83,67,87
Malawi,MWI,2018,YR2018,92,92,92,92,87,72,91
Malawi,MWI,2019,YR2019,91,95,95,95,92,75,94
Malaysia,MYS,2017,YR2017,98,99,98,99,93,99,99
Malaysia,MYS,2018,YR2018,99,99,99,99,96,88,99
Malaysia,MYS,2019,YR2019,99,98,97,98,97,87,98
Maldives,MDV,2017,YR2017,99,99,99,99,99,99,99
Maldives,MDV,2018,YR2018,99,99,99,99,99,99,99
Maldives,MDV,2019,YR2019,99,99,99,99,99,99,99
Mali,MLI,2017,YR2017,83,77,77,77,70,..,72
Mali,MLI,2018,YR2018,83,77,77,77,70,..,72
Mali,MLI,2019,YR2019,83,77,77,77,70,4,72
Malta,MLT,2017,YR2017,..,98,88,98,91,83,98
Malta,MLT,2018,YR2018,..,97,98,97,96,95,97
Malta,MLT,2019,YR2019,..,98,98,97,96,95,97
Marshall Islands,MHL,2017,YR2017,92,80,82,65,83,62,79
Marshall Islands,MHL,2018,YR2018,98,81,84,72,83,61,80
Marshall Islands,MHL,2019,YR2019,89,79,82,72,85,64,78
Mauritania,MRT,2017,YR2017,90,81,81,81,78,..,81
Mauritania,MRT,2018,YR2018,90,81,81,81,78,..,81
Mauritania,MRT,2019,YR2019,90,81,81,81,78,..,81
Mauritius,MUS,2017,YR2017,99,94,96,96,89,95,95
Mauritius,MUS,2018,YR2018,99,97,97,97,99,99,98
Mauritius,MUS,2019,YR2019,99,96,97,97,99,99,97
Mexico,MEX,2017,YR2017,94,85,58,85,76,62,85
Mexico,MEX,2018,YR2018,96,88,55,88,97,99,88
Mexico,MEX,2019,YR2019,76,82,56,82,73,73,82
"Micronesia, Fed. Sts.",FSM,2017,YR2017,83,73,80,44,76,52,72
"Micronesia, Fed. Sts.",FSM,2018,YR2018,80,75,83,59,73,48,75
"Micronesia, Fed. Sts.",FSM,2019,YR2019,77,78,84,64,78,52,78
Middle East & North Africa,MEA,2017,YR2017,91.24264019,90.42305201,90.37546624,90.45876083,90.29142035,88.90837389,90.12755625
Middle East & North Africa,MEA,2018,YR2018,93.0389501,89.76125697,89.7507026,89.78596061,88.82795729,86.1478073,88.13505923
Middle East & North Africa,MEA,2019,YR2019,91.18693778,90.51736298,90.49792095,90.54047663,88.84557343,86.63935825,90.35462595
Middle East & North Africa (excluding high income),MNA,2017,YR2017,90.65010301,89.51086818,89.46775755,89.5396086,89.46835436,87.98348339,89.25613213
Middle East & North Africa (excluding high income),MNA,2018,YR2018,92.57667782,88.92580079,88.88427694,88.95348335,87.69592127,84.82404835,86.91533237
Middle East & North Africa (excluding high income),MNA,2019,YR2019,93.68375747,89.77107861,89.73149314,89.79746892,87.91678418,85.44917578,89.51388064
Middle East & North Africa (IDA & IBRD countries),TMN,2017,YR2017,90.51657263,89.36133433,89.31754435,89.39052766,89.31815057,87.80905639,89.10258404
Middle East & North Africa (IDA & IBRD countries),TMN,2018,YR2018,92.47400288,88.76703167,88.72485341,88.79515052,87.51776929,84.59928869,86.72487833
Middle East & North Africa (IDA & IBRD countries),TMN,2019,YR2019,93.59849104,89.62504138,89.58482952,89.65184929,87.74140484,85.23424714,89.36377354
Middle income,MIC,2017,YR2017,91.26681213,87.17392217,86.66859945,67.86081612,87.27841944,73.3620058,86.70189791
Middle income,MIC,2018,YR2018,91.16407281,87.15611686,86.56292682,67.89506814,88.06187056,75.02209811,87.06368721
Middle income,MIC,2019,YR2019,90.40507404,87.06419121,86.63541991,68.41539403,87.94116132,75.50413261,87.09763443
Moldova,MDA,2017,YR2017,96,88,89,88,93,92,90
Moldova,MDA,2018,YR2018,96,93,94,92,93,96,94
Moldova,MDA,2019,YR2019,94,91,94,90,97,95,94
Monaco,MCO,2017,YR2017,..,99,99,99,88,79,99
Monaco,MCO,2018,YR2018,..,99,99,99,88,79,99
Monaco,MCO,2019,YR2019,..,99,99,99,88,79,99
Mongolia,MNG,2017,YR2017,99,99,99,99,99,98,99
Mongolia,MNG,2018,YR2018,99,99,99,99,99,98,99
Mongolia,MNG,2019,YR2019,99,98,98,98,98,98,98
Montenegro,MNE,2017,YR2017,83,87,73,87,58,83,87
Montenegro,MNE,2018,YR2018,93,86,72,86,42,86,86
Montenegro,MNE,2019,YR2019,93,86,72,86,42,86,86
Morocco,MAR,2017,YR2017,99,99,99,99,99,99,99
Morocco,MAR,2018,YR2018,99,99,99,99,99,99,99
Morocco,MAR,2019,YR2019,99,99,99,99,99,99,99
Mozambique,MOZ,2017,YR2017,94,88,88,88,87,45,88
Mozambique,MOZ,2018,YR2018,94,88,88,88,87,59,88
Mozambique,MOZ,2019,YR2019,94,88,88,88,87,85,88
Myanmar,MMR,2017,YR2017,91,89,89,89,83,80,89
Myanmar,MMR,2018,YR2018,90,91,91,91,93,87,91
Myanmar,MMR,2019,YR2019,91,90,90,90,84,80,90
Namibia,NAM,2017,YR2017,94,88,88,88,80,32,83
Namibia,NAM,2018,YR2018,94,89,89,89,82,50,84
Namibia,NAM,2019,YR2019,94,87,87,87,80,56,84
Nauru,NRU,2017,YR2017,99,87,87,87,95,94,87
Nauru,NRU,2018,YR2018,99,90,90,90,99,94,90
Nauru,NRU,2019,YR2019,99,96,96,96,95,95,96
Nepal,NPL,2017,YR2017,95,90,90,90,90,59,90
Nepal,NPL,2018,YR2018,96,91,91,91,91,69,91
Nepal,NPL,2019,YR2019,96,93,93,93,92,76,92
Netherlands,NLD,2017,YR2017,..,94,92,94,93,90,94
Netherlands,NLD,2018,YR2018,..,93,92,93,93,89,93
Netherlands,NLD,2019,YR2019,..,94,92,94,94,90,94
New Caledonia,NCL,2017,YR2017,..,..,..,..,..,..,..
New Caledonia,NCL,2018,YR2018,..,..,..,..,..,..,..
New Caledonia,NCL,2019,YR2019,..,..,..,..,..,..,..
New Zealand,NZL,2017,YR2017,..,94,94,93,93,90,94
New Zealand,NZL,2018,YR2018,..,93,93,92,92,90,93
New Zealand,NZL,2019,YR2019,..,92,92,91,92,90,92
Nicaragua,NIC,2017,YR2017,98,98,98,98,99,84,99
Nicaragua,NIC,2018,YR2018,98,98,98,98,99,95,99
Nicaragua,NIC,2019,YR2019,98,98,98,98,99,99,99
Niger,NER,2017,YR2017,92,85,85,85,82,46,85
Niger,NER,2018,YR2018,87,79,79,79,77,48,79
Niger,NER,2019,YR2019,70,81,81,81,79,58,81
Nigeria,NGA,2017,YR2017,67,55,55,55,54,..,55
Nigeria,NGA,2018,YR2018,67,56,56,56,54,..,56
Nigeria,NGA,2019,YR2019,67,57,57,57,54,9,57
North America,NAC,2017,YR2017,..,94.63570116,90.99635638,92.81785058,91.81785058,93.37101474,93.72677587
North America,NAC,2018,YR2018,..,93.72485709,89.1657139,91.9082857,91.81657139,93.35708462,92.81657139
North America,NAC,2019,YR2019,..,93.72384033,89.43509518,91,90,94.26253457,92.81589355
North Macedonia,MKD,2017,YR2017,97,91,91,91,83,97,91
North Macedonia,MKD,2018,YR2018,93,92,92,92,75,94,92
North Macedonia,MKD,2019,YR2019,93,92,92,92,75,94,92
Northern Mariana Islands,MNP,2017,YR2017,..,..,..,..,..,..,..
Northern Mariana Islands,MNP,2018,YR2018,..,..,..,..,..,..,..
Northern Mariana Islands,MNP,2019,YR2019,..,..,..,..,..,..,..
Norway,NOR,2017,YR2017,..,96,..,96,96,91,96
Norway,NOR,2018,YR2018,..,96,..,96,96,93,96
Norway,NOR,2019,YR2019,..,97,96,97,97,95,97
Not classified,INX,2017,YR2017,..,..,..,..,..,..,..
Not classified,INX,2018,YR2018,..,..,..,..,..,..,..
Not classified,INX,2019,YR2019,..,..,..,..,..,..,..
OECD members,OED,2017,YR2017,..,93.73841459,75.09270722,93.068874,91.35878539,86.39422982,93.21146205
OECD members,OED,2018,YR2018,..,94.01709751,74.70306535,93.41114208,94.3902681,91.85578153,93.57202069
OECD members,OED,2019,YR2019,..,93.24324503,86.18521091,92.36404238,90.57228709,88.4808972,92.79433479
Oman,OMN,2017,YR2017,99,99,99,99,99,99,99
Oman,OMN,2018,YR2018,99,99,99,99,99,99,99
Oman,OMN,2019,YR2019,99,99,99,99,99,99,99
Other small states,OSS,2017,YR2017,94.23203726,87.06576911,86.35980295,87.10150332,84.37707126,52.79279833,86.90154518
Other small states,OSS,2018,YR2018,93.69368612,87.17453864,86.47245179,87.15167067,84.24631802,54.94473904,86.48725821
Other small states,OSS,2019,YR2019,92.86518353,85.84326587,85.14760181,85.79523303,83.59859575,55.75843992,84.67956638
Pacific island small states,PSS,2017,YR2017,88.76290621,87.87456152,88.15462638,86.71429281,84.75850486,42.79071111,86.27235423
Pacific island small states,PSS,2018,YR2018,88.12915184,84.99909384,85.32082839,84.35562475,84.52444972,58.1707451,84.61466983
Pacific island small states,PSS,2019,YR2019,89.00290765,91.2603246,91.35331997,90.59343891,87.11625653,61.30926618,90.48951934
Pakistan,PAK,2017,YR2017,86,75,75,75,76,67,75
Pakistan,PAK,2018,YR2018,87,75,75,75,73,67,75
Pakistan,PAK,2019,YR2019,88,75,75,75,75,71,75
Palau,PLW,2017,YR2017,..,97,98,95,93,77,97
Palau,PLW,2018,YR2018,..,95,98,92,90,75,98
Palau,PLW,2019,YR2019,..,97,98,93,97,88,97
Panama,PAN,2017,YR2017,99,81,81,81,98,93,81
Panama,PAN,2018,YR2018,99,88,88,88,98,99,88
Panama,PAN,2019,YR2019,99,88,88,88,97,97,88
Papua New Guinea,PNG,2017,YR2017,62,36,36,36,38,..,35
Papua New Guinea,PNG,2018,YR2018,52,35,35,35,37,..,42
Papua New Guinea,PNG,2019,YR2019,52,35,35,35,37,20,42
Paraguay,PRY,2017,YR2017,96,91,91,91,92,82,92
Paraguay,PRY,2018,YR2018,91,88,88,88,93,83,88
Paraguay,PRY,2019,YR2019,87,86,86,86,87,83,84
Peru,PER,2017,YR2017,84,83,83,83,83,66,83
Peru,PER,2018,YR2018,81,84,84,84,85,66,83
Peru,PER,2019,YR2019,81,88,88,88,85,66,87
Philippines,PHL,2017,YR2017,82,72,72,72,73,46,74
Philippines,PHL,2018,YR2018,75,65,65,65,67,40,66
Philippines,PHL,2019,YR2019,75,65,65,65,67,40,66
Poland,POL,2017,YR2017,92,96,93,96,94,93,90
Poland,POL,2018,YR2018,92,95,91,95,93,92,87
Poland,POL,2019,YR2019,92,95,91,95,93,92,87
Portugal,PRT,2017,YR2017,..,98,98,98,98,95,98
Portugal,PRT,2018,YR2018,..,99,98,99,99,96,99
Portugal,PRT,2019,YR2019,..,99,98,99,99,96,99
Post-demographic dividend,PST,2017,YR2017,..,93.43425422,72.99483813,91.16967585,93.32612961,91.33542591,92.81313161
Post-demographic dividend,PST,2018,YR2018,..,93.80021435,73.4051786,92.21699998,93.55444156,91.67299637,93.53388697
Post-demographic dividend,PST,2019,YR2019,..,94.1934267,89.42503335,92.88017202,92.83834662,92.01286169,93.76924073
Pre-demographic dividend,PRE,2017,YR2017,80.3174581,71.84249896,71.66896037,71.66896037,69.04490847,24.3257,71.50265266
Pre-demographic dividend,PRE,2018,YR2018,79.48244597,72.23235568,72.08492278,72.08492278,69.13069634,25.4853115,71.05072427
Pre-demographic dividend,PRE,2019,YR2019,79.68122844,72.63421183,72.48613065,72.48613065,69.77273362,30.56843303,72.53521202
Puerto Rico,PRI,2017,YR2017,..,..,..,..,..,..,..
Puerto Rico,PRI,2018,YR2018,..,..,..,..,..,..,..
Puerto Rico,PRI,2019,YR2019,..,..,..,..,..,..,..
Qatar,QAT,2017,YR2017,99,97,97,97,99,93,97
Qatar,QAT,2018,YR2018,99,98,98,98,99,95,98
Qatar,QAT,2019,YR2019,99,98,98,98,99,95,98
Romania,ROU,2017,YR2017,97,82,92,82,86,75,82
Romania,ROU,2018,YR2018,96,86,93,86,90,81,86
Romania,ROU,2019,YR2019,96,88,90,88,90,76,88
Russian Federation,RUS,2017,YR2017,95,97,97,..,98,97,96
Russian Federation,RUS,2018,YR2018,95,97,97,..,98,97,96
Russian Federation,RUS,2019,YR2019,96,97,97,..,98,97,96
Rwanda,RWA,2017,YR2017,98,98,98,98,97,95,98
Rwanda,RWA,2018,YR2018,97,97,97,97,99,96,97
Rwanda,RWA,2019,YR2019,98,98,98,98,96,92,98
Samoa,WSM,2017,YR2017,83,74,74,74,58,42,71
Samoa,WSM,2018,YR2018,62,34,34,34,31,13,31
Samoa,WSM,2019,YR2019,90,58,58,58,87,44,55
San Marino,SMR,2017,YR2017,..,88,82,88,86,78,91
San Marino,SMR,2018,YR2018,..,90,78,91,89,84,93
San Marino,SMR,2019,YR2019,..,88,87,86,86,79,90
Sao Tome and Principe,STP,2017,YR2017,94,95,95,95,90,76,95
Sao Tome and Principe,STP,2018,YR2018,96,95,95,95,95,76,95
Sao Tome and Principe,STP,2019,YR2019,95,95,95,95,95,81,95
Saudi Arabia,SAU,2017,YR2017,97,98,98,98,96,96,97
Saudi Arabia,SAU,2018,YR2018,98,96,97,96,98,97,98
Saudi Arabia,SAU,2019,YR2019,52,96,97,96,95,96,97
Senegal,SEN,2017,YR2017,99,93,93,93,90,70,91
Senegal,SEN,2018,YR2018,83,82,82,82,83,63,82
Senegal,SEN,2019,YR2019,99,93,93,93,90,78,91
Serbia,SRB,2017,YR2017,97,95,93,95,86,91,95
Serbia,SRB,2018,YR2018,98,96,91,96,92,90,96
Serbia,SRB,2019,YR2019,98,97,94,97,87,91,97
Seychelles,SYC,2017,YR2017,99,97,98,97,99,99,97
Seychelles,SYC,2018,YR2018,97,99,99,99,96,97,99
Seychelles,SYC,2019,YR2019,98,99,99,99,99,99,99
Sierra Leone,SLE,2017,YR2017,90,90,90,90,80,55,90
Sierra Leone,SLE,2018,YR2018,88,93,93,93,87,64,93
Sierra Leone,SLE,2019,YR2019,86,95,95,95,93,72,95
Singapore,SGP,2017,YR2017,99,96,96,96,95,90,96
Singapore,SGP,2018,YR2018,98,96,96,96,95,84,96
Singapore,SGP,2019,YR2019,98,96,96,96,95,84,96
Sint Maarten (Dutch part),SXM,2017,YR2017,..,..,..,..,..,..,..
Sint Maarten (Dutch part),SXM,2018,YR2018,..,..,..,..,..,..,..
Sint Maarten (Dutch part),SXM,2019,YR2019,..,..,..,..,..,..,..
Slovak Republic,SVK,2017,YR2017,..,96,96,96,96,97,96
Slovak Republic,SVK,2018,YR2018,..,96,96,96,96,97,96
Slovak Republic,SVK,2019,YR2019,..,97,97,97,96,98,97
Slovenia,SVN,2017,YR2017,..,94,..,94,93,94,94
Slovenia,SVN,2018,YR2018,..,93,..,93,93,94,93
Slovenia,SVN,2019,YR2019,..,95,..,95,94,94,95
Small states,SST,2017,YR2017,93.72409519,87.5260974,86.98681597,87.47134635,85.52495786,57.01121969,87.12709976
Small states,SST,2018,YR2018,93.39518681,88.07085286,87.5359084,88.06189724,85.00656753,58.72731098,87.53521987
Small states,SST,2019,YR2019,92.9659438,87.24027254,86.70367754,87.16556781,84.99224474,60.45633969,86.21986401
Solomon Islands,SLB,2017,YR2017,78,83,83,83,84,..,80
Solomon Islands,SLB,2018,YR2018,83,85,85,85,93,54,85
Solomon Islands,SLB,2019,YR2019,77,94,94,94,81,54,93
Somalia,SOM,2017,YR2017,37,42,42,42,46,..,47
Somalia,SOM,2018,YR2018,37,42,42,42,46,..,47
Somalia,SOM,2019,YR2019,37,42,42,42,46,..,47
South Africa,ZAF,2017,YR2017,75,76,76,76,70,53,76
South Africa,ZAF,2018,YR2018,70,74,74,74,70,50,74
South Africa,ZAF,2019,YR2019,84,77,77,77,72,54,77
South Asia,SAS,2017,YR2017,91.2825091,86.85105252,86.85105252,86.85105252,87.55095251,77.53043781,87.08464222
South Asia,SAS,2018,YR2018,91.44397833,87.52140365,87.52140365,87.52140365,89.11012137,79.05737274,87.75568181
South Asia,SAS,2019,YR2019,91.59221328,88.21420101,88.21420101,88.21420101,90.80672459,81.32943403,87.74294649
South Asia (IDA & IBRD),TSA,2017,YR2017,91.2825091,86.85105252,86.85105252,86.85105252,87.55095251,77.53043781,87.08464222
South Asia (IDA & IBRD),TSA,2018,YR2018,91.44397833,87.52140365,87.52140365,87.52140365,89.11012137,79.05737274,87.75568181
South Asia (IDA & IBRD),TSA,2019,YR2019,91.59221328,88.21420101,88.21420101,88.21420101,90.80672459,81.32943403,87.74294649
South Sudan,SSD,2017,YR2017,52,47,47,47,50,..,48
South Sudan,SSD,2018,YR2018,52,49,49,49,49,..,50
South Sudan,SSD,2019,YR2019,52,49,49,49,49,..,50
Spain,ESP,2017,YR2017,..,95,95,95,98,93,95
Spain,ESP,2018,YR2018,..,96,96,96,97,94,96
Spain,ESP,2019,YR2019,..,96,96,96,98,94,96
Sri Lanka,LKA,2017,YR2017,99,99,99,99,99,99,99
Sri Lanka,LKA,2018,YR2018,99,99,99,99,99,99,99
Sri Lanka,LKA,2019,YR2019,99,99,99,99,99,99,99
St. Kitts and Nevis,KNA,2017,YR2017,97,97,98,98,93,95,96
St. Kitts and Nevis,KNA,2018,YR2018,97,97,98,98,96,96,97
St. Kitts and Nevis,KNA,2019,YR2019,99,96,97,97,97,98,96
St. Lucia,LCA,2017,YR2017,88,80,80,80,87,73,80
St. Lucia,LCA,2018,YR2018,99,95,95,95,86,68,95
St. Lucia,LCA,2019,YR2019,95,92,92,92,96,75,91
St. Martin (French part),MAF,2017,YR2017,..,..,..,..,..,..,..
St. Martin (French part),MAF,2018,YR2018,..,..,..,..,..,..,..
St. Martin (French part),MAF,2019,YR2019,..,..,..,..,..,..,..
St. Vincent and the Grenadines,VCT,2017,YR2017,99,99,99,99,99,99,99
St. Vincent and the Grenadines,VCT,2018,YR2018,99,97,97,97,99,99,99
St. Vincent and the Grenadines,VCT,2019,YR2019,99,97,97,97,99,99,99
Sub-Saharan Africa,SSF,2017,YR2017,79.96101726,72.75313508,72.50635907,72.50631221,69.08142283,23.49737174,72.35020847
Sub-Saharan Africa,SSF,2018,YR2018,78.85901902,72.89475444,72.76516844,72.76516844,68.75721173,24.74476455,72.41234684
Sub-Saharan Africa,SSF,2019,YR2019,79.18574575,73.4505824,73.22575646,73.22575646,69.62084534,32.98000396,73.38193967
Sub-Saharan Africa (excluding high income),SSA,2017,YR2017,79.96012505,72.75199883,72.5051644,72.5051644,69.0800208,23.49381223,72.34905334
Sub-Saharan Africa (excluding high income),SSA,2018,YR2018,78.85818374,72.89355245,72.76396048,72.76396048,68.75595736,24.74133539,72.41112263
Sub-Saharan Africa (excluding high income),SSA,2019,YR2019,79.18489731,73.44943023,73.22459415,73.22459415,69.61952046,32.9769449,73.3807844
Sub-Saharan Africa (IDA & IBRD countries),TSS,2017,YR2017,79.96101726,72.75313508,72.50635907,72.50631221,69.08142283,23.49737174,72.35020847
Sub-Saharan Africa (IDA & IBRD countries),TSS,2018,YR2018,78.85901902,72.89475444,72.76516844,72.76516844,68.75721173,24.74476455,72.41234684
Sub-Saharan Africa (IDA & IBRD countries),TSS,2019,YR2019,79.18574575,73.4505824,73.22575646,73.22575646,69.62084534,32.98000396,73.38193967
Sudan,SDN,2017,YR2017,97,95,95,95,90,72,95
Sudan,SDN,2018,YR2018,88,93,93,93,88,72,93
Sudan,SDN,2019,YR2019,92,93,93,93,90,74,93
Suriname,SUR,2017,YR2017,..,67,67,67,76,56,51
Suriname,SUR,2018,YR2018,..,81,81,81,77,54,81
Suriname,SUR,2019,YR2019,..,77,77,77,64,58,76
Sweden,SWE,2017,YR2017,25,97,76,97,97,95,97
Sweden,SWE,2018,YR2018,26,97,92,97,97,95,97
Sweden,SWE,2019,YR2019,25,98,97,97,97,95,98
Switzerland,CHE,2017,YR2017,..,96,69,95,95,90,96
Switzerland,CHE,2018,YR2018,..,96,69,95,95,90,96
Switzerland,CHE,2019,YR2019,..,96,69,95,95,90,96
Syrian Arab Republic,SYR,2017,YR2017,78,48,48,48,67,59,53
Syrian Arab Republic,SYR,2018,YR2018,79,47,47,47,63,54,53
Syrian Arab Republic,SYR,2019,YR2019,84,54,54,54,59,54,60
Tajikistan,TJK,2017,YR2017,98,96,96,96,98,98,97
Tajikistan,TJK,2018,YR2018,99,96,96,96,98,97,96
Tajikistan,TJK,2019,YR2019,98,97,97,97,98,97,97
Tanzania,TZA,2017,YR2017,93,90,90,90,90,67,89
Tanzania,TZA,2018,YR2018,91,89,89,89,88,68,82
Tanzania,TZA,2019,YR2019,91,89,89,89,88,72,89
